date,date_id,date_str,year,quarter,quarter_name,year_quarter,month,month_name,month_short,month_year,day_of_month,day_of_week,day_name,is_weekend,fiscal_year,fiscal_quarter
2022-01-01,20220101,2022-01-01,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,1,6,Saturday,1,FY2022,FQ1
2022-01-02,20220102,2022-01-02,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,2,7,Sunday,1,FY2022,FQ1
2022-01-03,20220103,2022-01-03,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,3,1,Monday,0,FY2022,FQ1
2022-01-04,20220104,2022-01-04,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,4,2,Tuesday,0,FY2022,FQ1
2022-01-05,20220105,2022-01-05,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,5,3,Wednesday,0,FY2022,FQ1
2022-01-06,20220106,2022-01-06,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,6,4,Thursday,0,FY2022,FQ1
2022-01-07,20220107,2022-01-07,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,7,5,Friday,0,FY2022,FQ1
2022-01-08,20220108,2022-01-08,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,8,6,Saturday,1,FY2022,FQ1
2022-01-09,20220109,2022-01-09,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,9,7,Sunday,1,FY2022,FQ1
2022-01-10,20220110,2022-01-10,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,10,1,Monday,0,FY2022,FQ1
2022-01-11,20220111,2022-01-11,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,11,2,Tuesday,0,FY2022,FQ1
2022-01-12,20220112,2022-01-12,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,12,3,Wednesday,0,FY2022,FQ1
2022-01-13,20220113,2022-01-13,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,13,4,Thursday,0,FY2022,FQ1
2022-01-14,20220114,2022-01-14,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,14,5,Friday,0,FY2022,FQ1
2022-01-15,20220115,2022-01-15,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,15,6,Saturday,1,FY2022,FQ1
2022-01-16,20220116,2022-01-16,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,16,7,Sunday,1,FY2022,FQ1
2022-01-17,20220117,2022-01-17,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,17,1,Monday,0,FY2022,FQ1
2022-01-18,20220118,2022-01-18,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,18,2,Tuesday,0,FY2022,FQ1
2022-01-19,20220119,2022-01-19,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,19,3,Wednesday,0,FY2022,FQ1
2022-01-20,20220120,2022-01-20,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,20,4,Thursday,0,FY2022,FQ1
2022-01-21,20220121,2022-01-21,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,21,5,Friday,0,FY2022,FQ1
2022-01-22,20220122,2022-01-22,2022,1,Q1,2022-Q1,1,January,Jan,2022-01,22,6,Saturday,1,FY2022,FQ1
